   tau1     tau2   tau3   tau4  tau5   tau6   t1
-3.176249999999984364e-01  8.593750000000024425e-01  -1.402374999999997263e+00  1.851249999999977913e-01  -1.424999999999993980e-02  -2.950000000000000955e-01  4.909867048263549805e+00
-3.377499999999977742e-01  7.068749999999957012e-01  -1.222375000000011536e+00  2.037499999999990707e-01  -6.079999999999999849e-01  -2.456250000000027855e-01  4.944823980331420898e+00
-1.505000000000013272e-01  5.322499999999980025e-01  -6.867499999999998606e-01  2.088750000000007268e-01  1.429999999999999605e-01  -1.508750000000017022e-01  4.978772878646850586e+00
-3.787499999999971445e-02  2.401250000000076934e-01  -4.187499999999955147e-01  7.462500000000177325e-02  -1.128750000000000170e-01  -8.837500000000164668e-02  5.014220952987670898e+00
7.074999999999442846e-02  5.762500000000558842e-02  -3.162500000000734168e-02  7.387499999999755373e-02  -4.277499999999999636e-01  -5.874999999998936628e-03  5.052036046981811523e+00
1.289999999999971725e-01  -1.262500000000221778e-02  2.074999999999993516e-02  -8.487499999999814637e-02  1.003749999999999781e-01  4.487499999999977618e-02  5.084503889083862305e+00
1.401249999999978901e-01  9.699999999999986411e-02  4.125000000000655920e-02  4.887500000000030709e-02  5.503749999999999476e-01  6.012500000000114975e-02  5.114594936370849609e+00
2.737499999999962186e-02  2.151249999999965690e-01  1.750000000008689049e-03  2.302499999999978175e-01  -1.487500000000000211e-01  5.250000000001781020e-03  5.144602060317993164e+00
1.333750000000015479e-01  4.250000000011189272e-03  1.133749999999988933e-01  5.774999999999877454e-02  3.451250000000000151e-01  7.899999999999920974e-02  5.173516988754272461e+00
1.880000000000006666e-01  -2.649999999999874678e-02  2.592500000000025340e-01  1.262500000000013611e-01  -6.178750000000000631e-01  1.236250000000022053e-01  5.204143047332763672e+00
2.346249999999987235e-01  -1.712500000000116707e-01  5.636249999999981553e-01  2.437500000000009104e-02  2.671250000000000013e-01  1.539999999999978886e-01  5.233721017837524414e+00
3.237500000000010925e-01  -5.847499999999949960e-01  9.175000000000016476e-01  -1.351249999999998286e-01  4.707500000000000018e-01  2.636249999999999427e-01  5.269397020339965820e+00
