tif_tot   t1   iter_no
6.939422171811164830e-01  1.699517393112182617e+01  2.550000000000000000e+02
6.787901067880144357e-01  1.703400611877441406e+01  2.560000000000000000e+02
6.626749516695029651e-01  1.707053303718566895e+01  2.570000000000000000e+02
6.460104803823571995e-01  1.711478710174560547e+01  2.580000000000000000e+02
6.273551129745170707e-01  1.715695500373840332e+01  2.590000000000000000e+02
6.089581985393446306e-01  1.720014595985412598e+01  2.600000000000000000e+02
5.908305013425646512e-01  1.723815202713012695e+01  2.610000000000000000e+02
5.735689345686885154e-01  1.728150391578674316e+01  2.620000000000000000e+02
5.564598507912514869e-01  1.732110500335693359e+01  2.630000000000000000e+02
5.399091263457331813e-01  1.735966205596923828e+01  2.640000000000000000e+02
5.240269117707392343e-01  1.740154409408569336e+01  2.650000000000000000e+02
5.077204595161568523e-01  1.745076012611389160e+01  2.660000000000000000e+02
4.879312425972716083e-01  1.749696803092956543e+01  2.670000000000000000e+02
1.212545367701380439e+00  1.830704903602600098e+01  2.680000000000000000e+02
1.125243060175758369e+00  1.838061594963073730e+01  2.690000000000000000e+02
1.141565238626041978e+00  1.848826193809509277e+01  2.700000000000000000e+02
1.153444643681361903e+00  1.856364893913269043e+01  2.710000000000000000e+02
1.130929112445919538e+00  1.865479803085327148e+01  2.720000000000000000e+02
1.156435079032254176e+00  1.873296308517456055e+01  2.730000000000000000e+02
1.085433031737746301e+00  1.882920193672180176e+01  2.740000000000000000e+02
1.085199574194911198e+00  1.891242599487304688e+01  2.750000000000000000e+02
1.069677308378454761e+00  1.900016212463378906e+01  2.760000000000000000e+02
1.063721622394694144e+00  1.905953812599182129e+01  2.770000000000000000e+02
1.049086712034010604e+00  1.910648798942565918e+01  2.780000000000000000e+02
1.041326336893484417e+00  1.916202497482299805e+01  2.790000000000000000e+02
1.024951955529788794e+00  1.922171902656555176e+01  2.800000000000000000e+02
1.016890680547935411e+00  1.929295706748962402e+01  2.810000000000000000e+02
1.004554117923434298e+00  1.936278510093688965e+01  2.820000000000000000e+02
9.937786998759225998e-01  1.941451001167297363e+01  2.830000000000000000e+02
9.847207081944058249e-01  1.945654392242431641e+01  2.840000000000000000e+02
9.769710853034674347e-01  1.949679613113403320e+01  2.850000000000000000e+02
9.703053036345835602e-01  1.953783893585205078e+01  2.860000000000000000e+02
9.645951117260820329e-01  1.958152198791503906e+01  2.870000000000000000e+02
