  a1     a2    a3    a4   a5    a6   t1
1.106750000000000123e+00  -1.195874999999999799e+00  1.516874999999999973e+00  -2.068749999999999201e-01  -5.043750000000000178e-01  1.566749999999999865e+00  2.944041013717651367e+00
1.417000000000000703e+00  -1.702749999999999320e+00  1.950624999999999165e+00  -6.658749999999997726e-01  -6.375000000000005662e-03  1.355750000000000233e+00  2.977056026458740234e+00
1.322000000000000286e+00  -1.719124999999998460e+00  1.894124999999999837e+00  -5.432499999999998996e-01  4.771250000000000213e-01  1.345874999999999710e+00  3.009651899337768555e+00
1.179249999999999687e+00  -1.336500000000000909e+00  1.749375000000000790e+00  -1.843749999999996503e-01  -4.517499999999999849e-01  1.115875000000002171e+00  3.058148860931396484e+00
8.396250000000000657e-01  -1.191249999999997922e+00  1.503249999999997533e+00  -8.162500000000010025e-02  -5.997500000000000053e-01  8.741249999999999298e-01  3.097110033035278320e+00
7.733749999999997016e-01  -1.002500000000003277e+00  1.432124999999999426e+00  -2.787500000000012190e-02  3.800000000000000044e-01  7.316249999999996367e-01  3.121845960617065430e+00
6.063750000000027729e-01  -8.752500000000009717e-01  1.221125000000003347e+00  -1.193750000000005501e-01  1.889999999999999736e-01  6.032499999999996199e-01  3.147367954254150391e+00
4.427499999999987002e-01  -6.595000000000003082e-01  1.003624999999993994e+00  -6.212500000000054784e-02  5.212499999999999911e-01  4.388750000000052331e-01  3.174797058105468750e+00
2.653749999999982512e-01  -4.699999999999981970e-01  7.033749999999990843e-01  -1.037499999999996758e-01  -4.421249999999999902e-01  2.297500000000007869e-01  3.208910942077636719e+00
1.680000000000014815e-01  -3.090000000000037161e-01  4.411250000000005445e-01  -9.187499999999994282e-02  -6.500000000000000222e-02  1.299999999999981726e-01  3.243891954421997070e+00
1.232499999999983609e-01  -1.627500000000031699e-01  1.888749999999980722e-01  3.625000000000155875e-03  4.099999999999999756e-01  8.974999999999955236e-02  3.273408889770507812e+00
-1.088750000000013318e-01  -3.362499999999546407e-02  -8.925000000000599121e-02  -3.837500000000021450e-02  1.365000000000000102e-01  -5.175000000000318234e-02  3.304821014404296875e+00
-1.481250000000058908e-01  8.837500000000164668e-02  -1.119999999999940488e-01  -7.799999999999994438e-02  -4.539999999999999591e-01  -1.639999999999974811e-01  3.334860086441040039e+00
