a1     a2   a3   a4  a5   a6   t1
-1.490066052581264122e+00  2.669318383979265352e+00  -3.141592653589793116e+00  3.005247372800734507e-01  -1.946564359754033658e-03  -1.088978721118753157e+00  3.058148860931396484e+00
-1.570089391146397784e+00  2.757021898415032091e+00  -3.141592653589793116e+00  3.097855313740630057e-01  -3.125844141755768080e-02  -1.164301181958868892e+00  3.097110033035278320e+00
-1.610683824262623132e+00  2.803189248026990210e+00  -3.141592653589793116e+00  3.254895924166962828e-01  -8.655978900591066935e-03  -1.205088224019440046e+00  3.121845960617065430e+00
-1.665049640205032100e+00  2.844446078300020275e+00  -3.141592653589793116e+00  3.265988765139897776e-01  2.503809463506970201e-02  -1.250840993732672768e+00  3.147367954254150391e+00
-1.711946126657838629e+00  2.863668397237250307e+00  -3.141592653589793116e+00  3.446105410439064820e-01  -7.939372714967807276e-03  -1.310606936835587932e+00  3.174797058105468750e+00
-1.757438906405756729e+00  2.876209581698064177e+00  -3.141592653589793116e+00  3.572909692317431385e-01  -3.020661911045878154e-02  -1.357704974992232749e+00  3.208910942077636719e+00
-2.102819943082983922e+00  2.836294032414780286e+00  -3.141592653589793116e+00  4.756978774366795726e-01  -3.505106858719168883e-02  -1.803650498082701503e+00  3.243891954421997070e+00
-2.112838935893746051e+00  2.844270832176131414e+00  -3.141592653589793116e+00  4.819140571195176248e-01  5.238187276806810164e-03  -1.831367353343518856e+00  3.273408889770507812e+00
-2.128522677789901341e+00  2.862881828435350329e+00  -3.141592653589793116e+00  4.915722476483992409e-01  -1.319334088164540036e-02  -1.836957428003759496e+00  3.304821014404296875e+00
-2.127070235590494907e+00  2.856422003326317682e+00  -3.141592653589793116e+00  4.948332901385617544e-01  6.295301070343510552e-02  -1.864564568662674837e+00  3.334860086441040039e+00
-2.146750056452604305e+00  2.888711747515885886e+00  -3.141592653589793116e+00  5.056403210711837293e-01  -7.037115569997190109e-03  -1.903951071474074386e+00  3.368808031082153320e+00
-2.161156415797927277e+00  2.896815705974316035e+00  -3.141592653589793116e+00  5.204696870042007095e-01  -2.726447055526541943e-02  -1.913071844564051993e+00  3.404721021652221680e+00
-2.094823614661001532e+00  2.876993342525107522e+00  -3.141592653589793116e+00  5.215241049229970560e-01  8.067564932302011271e-02  -1.870918316188999952e+00  3.436142921447753906e+00
-2.123687268532504557e+00  2.902446041826245882e+00  -3.141592653589793116e+00  6.100454008631356340e-01  3.983554818931673430e-02  -2.128681238899673644e+00  3.471570014953613281e+00
-2.133898855797967897e+00  2.920072208547493275e+00  -3.141592653589793116e+00  6.262632869202405805e-01  1.271709141367101670e-01  -2.169288820596959155e+00  3.503336906433105469e+00
-2.168303712205577050e+00  2.937957052890050491e+00  -3.141592653589793116e+00  6.306993157531037841e-01  2.625938098614932770e-02  -2.213740070284726968e+00  3.533355951309204102e+00
-2.185070891079321065e+00  2.949815891831021997e+00  -3.141592653589793116e+00  6.315749404822332824e-01  4.363911054487003283e-02  -2.227707215793074180e+00  3.567916870117187500e+00
-2.220673848527709104e+00  2.993752862413925353e+00  -3.141592653589793116e+00  6.580870808655761017e-01  1.775713624170010552e-01  -2.289471800164942117e+00  3.606150865554809570e+00
-2.210685758362799902e+00  2.975598695959619455e+00  -3.141592653589793116e+00  6.815174906113844466e-01  1.412712179286881586e-01  -2.270672822123309231e+00  3.636439085006713867e+00
0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  0.000000000000000000e+00  3.664998054504394531e+00
